Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 134062900k(91203800k free), swap 153985844k(104104568k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=134217728 -XX:+ManagementServer -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.664: [GC (Allocation Failure) [PSYoungGen: 33280K->5112K(38400K)] 33280K->5179K(125952K), 0.0023456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.097: [GC (Allocation Failure) [PSYoungGen: 38392K->5095K(38400K)] 38459K->6887K(125952K), 0.0024284 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.161: [GC (Allocation Failure) [PSYoungGen: 38375K->5104K(38400K)] 40167K->8943K(125952K), 0.0025084 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.221: [GC (Allocation Failure) [PSYoungGen: 38384K->5110K(38400K)] 42223K->11422K(125952K), 0.0037289 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.277: [GC (Metadata GC Threshold) [PSYoungGen: 26178K->5091K(38400K)] 32491K->13498K(125952K), 0.0026179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.280: [Full GC (Metadata GC Threshold) [PSYoungGen: 5091K->0K(38400K)] [ParOldGen: 8407K->7715K(54784K)] 13498K->7715K(93184K), [Metaspace: 20436K->20436K(1067008K)], 0.0165893 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
1.788: [GC (Allocation Failure) [PSYoungGen: 33280K->3823K(30208K)] 40995K->11547K(84992K), 0.0015834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.834: [GC (Allocation Failure) [PSYoungGen: 28911K->4242K(34304K)] 36635K->11973K(89088K), 0.0011394 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.908: [GC (Allocation Failure) [PSYoungGen: 29330K->4878K(34304K)] 37061K->12618K(89088K), 0.0013682 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.967: [GC (Allocation Failure) [PSYoungGen: 29966K->3804K(34304K)] 37706K->13432K(89088K), 0.0014231 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.013: [GC (Allocation Failure) [PSYoungGen: 28892K->2489K(34304K)] 38520K->13977K(89088K), 0.0011666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.105: [GC (Allocation Failure) [PSYoungGen: 27577K->2518K(27648K)] 39065K->15604K(82432K), 0.0012886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.188: [GC (Allocation Failure) [PSYoungGen: 27606K->1939K(33792K)] 40692K->15905K(88576K), 0.0012967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.272: [GC (Allocation Failure) [PSYoungGen: 26003K->2019K(33792K)] 39969K->16761K(88576K), 0.0011781 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.369: [GC (Allocation Failure) [PSYoungGen: 26083K->2501K(32768K)] 40825K->18127K(87552K), 0.0026579 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.979: [GC (Allocation Failure) [PSYoungGen: 26565K->3243K(33280K)] 42191K->19682K(88064K), 0.0017562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.216: [GC (Allocation Failure) [PSYoungGen: 27307K->2485K(34304K)] 43746K->20908K(89088K), 0.0022142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.304: [GC (Metadata GC Threshold) [PSYoungGen: 22777K->2088K(27648K)] 41200K->21283K(82432K), 0.0018509 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.306: [Full GC (Metadata GC Threshold) [PSYoungGen: 2088K->0K(27648K)] [ParOldGen: 19195K->16447K(85504K)] 21283K->16447K(113152K), [Metaspace: 34080K->34080K(1079296K)], 0.0390887 secs] [Times: user=0.48 sys=0.00, real=0.04 secs] 
3.424: [GC (Allocation Failure) [PSYoungGen: 25088K->3565K(34304K)] 41535K->20020K(119808K), 0.0018077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
